Material,Material description,Plant,Storage location,Order Qty,Base Unit of Measure,Total stock,Movement type,Movement Type Text,Posting Date,User Name,Material Document,Document Date,Vendor,Purchase order,Amt.in Loc.Cur.,Reason for Movement
Total stock,,,,,,11440,,,,,,,,,,
1111003,"Butter, Unsalted",BAR1,2000,240,KG,11680,301,TF trfr plnt to plnt,11/27/2024,COMMPO,4908410360,11/27/2024,,,"13,365.37",0
1111003,"Butter, Unsalted",BAR1,2000,-2360,KG,9320,301,TF trfr plnt to plnt,11/26/2024,COMMPO,4908406301,11/26/2024,,,"-131,426.16",0
1111003,"Butter, Unsalted",BAR1,2000,-720,KG,8600,301,TF trfr plnt to plnt,11/26/2024,COMMPO,4908405523,11/26/2024,,,"-40,096.12",0
1111003,"Butter, Unsalted",BAR1,2000,195,KG,8795,101,GR goods receipt,11/26/2024,COMMPO,5007414740,11/26/2024,SKO003,4500198371,"10,859.36",0
1111003,"Butter, Unsalted",BAR1,2000,3645,KG,12440,101,GR goods receipt,11/26/2024,COMMPO,5007414742,11/26/2024,SKO003,4500198371,"202,986.59",0
1111003,"Butter, Unsalted",BAR1,2000,960,KG,13400,101,GR goods receipt,11/26/2024,COMMPO,5007414743,11/26/2024,SKO003,4500198371,"53,461.49",0
1111003,"Butter, Unsalted",BAR1,2000,-240,KG,13160,301,TF trfr plnt to plnt,11/23/2024,COMMPO,4908387733,11/23/2024,,,"-13,365.37",0
1111003,"Butter, Unsalted",BAR1,2000,-111,KG,13049,301,TF trfr plnt to plnt,11/22/2024,COMMPO,4908381805,11/22/2024,,,"-6,181.48",0
1111003,"Butter, Unsalted",BAR1,2000,-129,KG,12920,301,TF trfr plnt to plnt,11/22/2024,COMMPO,4908381818,11/22/2024,,,"-7,183.89",0
1111003,"Butter, Unsalted",BAR1,2000,-1000,KG,11920,301,TF trfr plnt to plnt,11/21/2024,COMMPO,4908370393,11/21/2024,,,"-55,689.05",0
1111003,"Butter, Unsalted",BAR1,2000,4800,KG,16720,101,GR goods receipt,11/21/2024,COMMPO,5007372928,11/21/2024,SKO003,4500198372,"267,307.44",0
1111003,"Butter, Unsalted",BAR1,2000,-60,KG,16660,301,TF trfr plnt to plnt,11/20/2024,COMMPO,4908365592,11/20/2024,,,"-3,341.34",0
1111003,"Butter, Unsalted",BAR1,2000,-180,KG,16480,301,TF trfr plnt to plnt,11/20/2024,COMMPO,4908365603,11/20/2024,,,"-10,024.03",0
1111003,"Butter, Unsalted",BAR1,2000,-240,KG,16240,301,TF trfr plnt to plnt,11/19/2024,COMMPO,4908358036,11/19/2024,,,"-13,365.37",0
1111003,"Butter, Unsalted",BAR1,2000,120,KG,16360,344,TR blocked to unre.,11/18/2024,COMMPO,4908349293,11/18/2024,,,0,0
1111003,"Butter, Unsalted",BAR1,2000,-120,KG,16240,344,TR blocked to unre.,11/18/2024,COMMPO,4908349293,11/18/2024,,,0,0
1111003,"Butter, Unsalted",BAR1,2000,120,KG,16360,344,TR blocked to unre.,11/18/2024,COMMPO,4908349294,11/18/2024,,,0,0
1111003,"Butter, Unsalted",BAR1,2000,-120,KG,16240,344,TR blocked to unre.,11/18/2024,COMMPO,4908349294,11/18/2024,,,0,0
1111003,"Butter, Unsalted",BAR1,2000,-890,KG,15350,301,TF trfr plnt to plnt,11/18/2024,COMMPO,4908350128,11/18/2024,,,"-49,563.25",0
1111003,"Butter, Unsalted",BAR1,2000,170,KG,15520,301,TF trfr plnt to plnt,11/17/2024,COMMPO,4908345876,11/17/2024,,,"9,467.14",0
1111003,"Butter, Unsalted",BAR1,2000,-240,KG,15280,301,TF trfr plnt to plnt,11/16/2024,COMMPO,4908343071,11/16/2024,,,"-13,365.37",0
1111003,"Butter, Unsalted",BAR1,2000,-155,KG,15125,301,TF trfr plnt to plnt,11/15/2024,COMMPO,4908338529,11/15/2024,,,"-8,631.80",0
1111003,"Butter, Unsalted",BAR1,2000,-100,KG,15025,301,TF trfr plnt to plnt,11/15/2024,COMMPO,4908340093,11/15/2024,,,"-5,568.91",0
1111003,"Butter, Unsalted",BAR1,2000,-140,KG,14885,301,TF trfr plnt to plnt,11/15/2024,COMMPO,4908340099,11/15/2024,,,"-7,796.47",0
1111003,"Butter, Unsalted",BAR1,2000,3600,KG,18485,101,GR goods receipt,11/15/2024,COMMPO,5007315454,11/15/2024,SKO003,4500197880,"200,480.58",0
1111003,"Butter, Unsalted",BAR1,2000,1200,KG,19685,101,GR goods receipt,11/15/2024,COMMPO,5007315456,11/15/2024,SKO003,4500197880,"66,826.86",0
