,Planned dates,MRP element,MRP elmnt data,Rescheduling date,Exception,Rec./reqd qty,Avail. Quantity,Plng Plant,Stor. Loc.,Rec P. Qty,Day of the Week
,11/26/2024,Stock,"On-Hold: 263,232.000 M",,82,0.000,"394,848",,,,Tuesday
,11/26/2024,SafeSt,Safety Stock,,,"-1,579,392","-1,184,544",,,1579.39-,Tuesday
,10/30/2024,PO,4500196146/00010,,10,"789,696","-394,848",,2000,789.70,Wednesday
,11/27/2024,PO,4500202241/00010,11/26/2024,10,"394,848",0,,2000,394.85,Wednesday
,11/29/2024,Transf,0225098183/00010,,,"-43,872","-43,872",ORM2,2000,43.87-,Friday
,11/29/2024,Transf,0225098555/00010,,,"-10,968","-54,840",FEN1,2000,10.97-,Friday
,11/30/2024,Transf,0225098184/00010,,,"-21,936","-76,776",ORM2,2000,21.94-,Saturday
,11/30/2024,Transf,0225098556/00010,,,"-10,968","-87,744",FEN1,2000,10.97-,Saturday
,12/2/2024,Transf,0225098185/00010,,,"-65,808","-153,552",ORM2,2000,65.81-,Monday
,12/2/2024,Transf,0225098557/00010,,,"-21,936","-175,488",FEN1,2000,21.94-,Monday
,12/3/2024,Transf,0225098186/00010,,,"-54,840","-230,328",ORM2,2000,54.84-,Tuesday
,12/3/2024,Transf,0225098558/00010,,,"-32,904","-263,232",FEN1,2000,32.90-,Tuesday
,12/4/2024,PO,4500203423/00010,11/29/2024,10,"1,184,544","921,312",,2000,1184.54,Wednesday
,12/4/2024,Transf,0225098187/00010,,,"-43,872","877,440",ORM2,2000,43.87-,Wednesday
,12/4/2024,Transf,0225098503/00010,,,"-10,968","866,472",LAN1,2000,10.97-,Wednesday
,12/4/2024,Transf,0225098559/00010,,,"-21,936","844,536",FEN1,2000,21.94-,Wednesday
,12/5/2024,Transf,0225098188/00010,,,"-54,840","789,696",ORM2,2000,54.84-,Thursday
,12/5/2024,Transf,0225098394/00010,,,"-32,904","756,792",CRE1,2000,32.90-,Thursday
,12/5/2024,Transf,0225098504/00010,,,"-32,904","723,888",LAN1,2000,32.90-,Thursday
,12/5/2024,Transf,0225098560/00010,,,"-32,904","690,984",FEN1,2000,32.90-,Thursday
,12/6/2024,Transf,0225098189/00010,,,"-43,872","647,112",ORM2,2000,43.87-,Friday
,12/6/2024,Transf,0225098561/00010,,,"-32,904","614,208",FEN1,2000,32.90-,Friday
,12/6/2024,Transf,0225157485/00010,,,"-76,776","537,432",CRE1,2000,76.78-,Friday
,12/7/2024,Transf,0225098190/00010,,,"-32,904","504,528",ORM2,2000,32.90-,Saturday
,12/7/2024,Transf,0225098396/00010,,,"-54,840","449,688",CRE1,2000,54.84-,Saturday
,12/7/2024,Transf,0225098562/00010,,,"-10,968","438,720",FEN1,2000,10.97-,Saturday
,12/11/2024,PO,4500203819/00010,12/12/2024,15,"1,184,544","1,623,264",,2000,1184.54,Wednesday
,12/12/2024,Transf,0225165767/00010,,,"-296,136","1,327,128",ORM2,2000,296.14-,Thursday
,12/12/2024,Transf,0225165829/00010,,,"-153,552","1,173,576",FEN1,2000,153.55-,Thursday
